Company,Company Headcount,Industry
Horizon Bancorp (IN),501-1000,Major Banks
PowerShares LadderRite 0-5 Year Corporate Bond Portfolio,501-1000,n/a
"DHT Holdings, Inc.",1001-5000,Marine Transportation
"Soleno Therapeutics, Inc.",10000+,Biotechnology: Electromedical & Electrotherapeutic Apparatus
Eagle Materials Inc,201-500,Building Materials
Citigroup Inc.,1001-5000,n/a
Education Realty Trust Inc.,10000+,Real Estate Investment Trusts
National Holdings Corporation,201-500,Investment Bankers/Brokers/Service
First Trust Emerging Markets Small Cap AlphaDEX Fund,1001-5000,n/a
"GlassBridge Enterprises, Inc.",201-500,Electronic Components
"International Seaways, Inc.",10000+,Marine Transportation
"Covenant Transportation Group, Inc.",501-1000,Trucking Freight/Courier Services
BLDRS Emerging Markets 50 ADR Index Fund,201-500,n/a
Hi-Crush Partners LP,201-500,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
Novadaq Technologies Inc,1001-5000,Biotechnology: Electromedical & Electrotherapeutic Apparatus
"TG Therapeutics, Inc.",201-500,Major Pharmaceuticals
"China Jo-Jo Drugstores, Inc.",1001-5000,Specialty Chemicals
State Street Corporation,10000+,n/a
"SciClone Pharmaceuticals, Inc.",501-1000,Major Pharmaceuticals
BlackRock Long-Term Municipal Advantage Trust,10000+,n/a
"Pulse Biosciences, Inc",1001-5000,Medical/Dental Instruments
Hillenbrand Inc,501-1000,Miscellaneous manufacturing industries
"Royal Gold, Inc.",201-500,Precious Metals
"Guaranty Federal Bancshares, Inc.",10000+,Major Banks
U.S. Bancorp,10000+,Major Banks
Encore Capital Group Inc,10000+,Finance Companies
Liberty Broadband Corporation,10000+,Television Services
"Mirna Therapeutics, Inc.",10000+,Major Pharmaceuticals
Marine Petroleum Trust,10000+,Oil & Gas Production
"New York Community Bancorp, Inc.",501-1000,Banks
Pimco New York Municipal Income Fund II,1001-5000,n/a
Westport Fuel Systems Inc,10000+,Industrial Machinery/Components
XOMA Corporation,201-500,Major Pharmaceuticals
"First Midwest Bancorp, Inc.",201-500,Major Banks
Golden Ocean Group Limited,1001-5000,Marine Transportation
VanEck Vectors Pharmaceutical ETF,10000+,n/a
"One Horizon Group, Inc.",10000+,Telecommunications Equipment
Michael Kors Holdings Limited,10000+,Apparel
"B&G Foods, Inc.",201-500,Packaged Foods
First Trust Nasdaq Pharmaceuticals ETF,501-1000,n/a
"Atlantic Capital Bancshares, Inc.",1001-5000,Major Banks
"Aaron&#39;s,  Inc.",10000+,Diversified Commercial Services
Exa Corporation,10000+,Computer Software: Prepackaged Software
"G1 Therapeutics, Inc.",201-500,Major Pharmaceuticals
Cardiome Pharma Corporation,10000+,Major Pharmaceuticals
Signature Bank,1001-5000,Major Banks
Duke Energy Corporation,201-500,Power Generation
BB&T Corporation,501-1000,n/a
Pioneer Municipal High Income Advantage Trust,1001-5000,n/a
"Caseys General Stores, Inc.",1001-5000,Automotive Aftermarket
EPR Properties,501-1000,n/a
"TC PipeLines, LP",501-1000,Natural Gas Distribution
MYOS RENS Technology Inc.,201-500,Major Pharmaceuticals
"Cisco Systems, Inc.",201-500,Computer Communications Equipment
"Fate Therapeutics, Inc.",201-500,Biotechnology: Biological Products (No Diagnostic Substances)
"Apptio, Inc.",501-1000,Computer Software: Prepackaged Software
OFS Capital Corporation,10000+,n/a
North European Oil Royality Trust,201-500,Oil & Gas Production
"BioLife Solutions, Inc.",201-500,Biotechnology: Electromedical & Electrotherapeutic Apparatus
First Trust Enhanced Short Maturity ETF,201-500,n/a
"Fidelity National Information Services, Inc.",501-1000,Business Services
Global Medical REIT Inc.,1001-5000,Real Estate Investment Trusts
Federal Agricultural Mortgage Corporation,501-1000,n/a
"Liberty TripAdvisor Holdings, Inc.",10000+,EDP Services
Ares Management L.P.,501-1000,Investment Managers
"Liberty All-Star Growth Fund, Inc.",1001-5000,n/a
"TrueCar, Inc.",1001-5000,"Computer Software: Programming, Data Processing"
L.B. Foster Company,201-500,Metal Fabrications
Hoegh LNG Partners LP,1001-5000,Marine Transportation
Seadrill Partners LLC,1001-5000,Oil & Gas Production
"American Capital Senior Floating, Ltd.",10000+,n/a
"Synthetic Fixed-Income Securities, Inc.",201-500,n/a
Histogenics Corporation,1001-5000,Industrial Specialties
"FleetCor Technologies, Inc.",501-1000,Business Services
PowerShares Global Gold & Precious Metals Portfolio,201-500,n/a
Nuveen Floating Rate Income Fund,201-500,n/a
Telecom Italia S.P.A.,201-500,n/a
BB&T Corporation,501-1000,Major Banks
"Soleno Therapeutics, Inc.",10000+,Biotechnology: Electromedical & Electrotherapeutic Apparatus
"Digital Realty Trust, Inc.",501-1000,n/a
"Caterpillar, Inc.",501-1000,Construction/Ag Equipment/Trucks
Ivy High Income Opportunities Fund,201-500,n/a
Guggenheim Enhanced Equity Income Fund,1001-5000,n/a
"JAKKS Pacific, Inc.",10000+,Recreational Products/Toys
"PrivateBancorp, Inc.",1001-5000,Major Banks
"Fiesta Restaurant Group, Inc.",10000+,Restaurants
Blackrock New York Municipal Income Quality Trust,1001-5000,n/a
"Advanced Semiconductor Engineering, Inc.",10000+,Semiconductors
Cantel Medical Corp.,201-500,Medical/Dental Instruments
"THL Credit, Inc.",10000+,n/a
Granite Real Estate Inc.,1001-5000,n/a
QuickLogic Corporation,10000+,Semiconductors
"Heritage-Crystal Clean, Inc.",1001-5000,Miscellaneous
Nuveen Global High Income Fund,10000+,n/a
Navios Maritime Holdings Inc.,10000+,n/a
CSI Compressco LP,201-500,Oilfield Services/Equipment
"Amber Road, Inc.",10000+,Computer Software: Prepackaged Software
Embotelladora Andina S.A.,1001-5000,n/a
Shinhan Financial Group Co Ltd,501-1000,Major Banks
"Hemisphere Media Group, Inc.",10000+,Television Services
"EnLink Midstream Partners, LP",10000+,Natural Gas Distribution
Yirendai Ltd.,501-1000,Finance: Consumer Services
Federated Premier Intermediate Municipal Income Fund,1001-5000,n/a
YY Inc.,1001-5000,EDP Services
Array BioPharma Inc.,1001-5000,Major Pharmaceuticals
Halcon Resources Corporation,201-500,n/a
Student Transportation Inc,501-1000,Other Transportation
Active Alts Contrarian ETF,201-500,n/a
"Varian Medical Systems, Inc.",201-500,Biotechnology: Electromedical & Electrotherapeutic Apparatus
"Old Line Bancshares, Inc.",1001-5000,Major Banks
World Fuel Services Corporation,10000+,Oil Refining/Marketing
"Celldex Therapeutics, Inc.",1001-5000,Biotechnology: In Vitro & In Vivo Diagnostic Substances
Ashford Hospitality Trust Inc,1001-5000,Real Estate Investment Trusts
Huron Consulting Group Inc.,501-1000,Professional Services
Big 5 Sporting Goods Corporation,1001-5000,Other Specialty Stores
KB Financial Group Inc,1001-5000,Commercial Banks
Mercer International Inc.,501-1000,Paper
Rayonier Inc.,10000+,Real Estate Investment Trusts
"CACI International, Inc.",501-1000,EDP Services
"Carbo Ceramics, Inc.",201-500,Industrial Machinery/Components
"Goldman Sachs Group, Inc. (The)",10000+,n/a
United Therapeutics Corporation,501-1000,Major Pharmaceuticals
Brookfield Business Partners L.P.,10000+,Engineering & Construction
InfoSonics Corp,1001-5000,Electronic Components
Barington/Hilco Acquisition Corp.,1001-5000,Business Services
Vident Core US Equity ETF,501-1000,n/a
Virtus Global Dividend & Income Fund Inc.,10000+,n/a
"Halozyme Therapeutics, Inc.",1001-5000,Biotechnology: Biological Products (No Diagnostic Substances)
The Providence Service Corporation,501-1000,Transportation Services
Harsco Corporation,1001-5000,Metal Fabrications
WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond F,501-1000,n/a
"Goldman Sachs BDC, Inc.",10000+,n/a
Alphabet Inc.,201-500,"Computer Software: Programming, Data Processing"
"Customers Bancorp, Inc",10000+,n/a
Kilroy Realty Corporation,1001-5000,n/a
American Campus Communities Inc,1001-5000,Real Estate Investment Trusts
Sonic Corp.,501-1000,Restaurants
Wabash National Corporation,1001-5000,Construction/Ag Equipment/Trucks
"PDL BioPharma, Inc.",201-500,Biotechnology: Biological Products (No Diagnostic Substances)
"Heartland Express, Inc.",1001-5000,Trucking Freight/Courier Services
Cresud S.A.C.I.F. y A.,10000+,Real Estate
Humana Inc.,501-1000,Medical Specialities
Global Indemnity Limited,201-500,Property-Casualty Insurers
"NextEra Energy, Inc.",201-500,Electric Utilities: Central
First Trust Europe AlphaDEX Fund,10000+,n/a
Blackrock Muni Intermediate Duration Fund Inc,10000+,n/a
PowerShares DWA Basic Materials Momentum Portfolio,10000+,n/a
Star Bulk Carriers Corp.,1001-5000,Marine Transportation
"Eagle Pharmaceuticals, Inc.",201-500,Major Pharmaceuticals
"Republic First Bancorp, Inc.",501-1000,Major Banks
"NextEra Energy, Inc.",201-500,n/a
"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",1001-5000,n/a
Atlantic Power Corporation,501-1000,Electric Utilities: Central
"HopFed Bancorp, Inc.",10000+,Major Banks
"Hebron Technology Co., Ltd.",201-500,Metal Fabrications
Seanergy Maritime Holdings Corp,1001-5000,Marine Transportation
Bank of Hawaii Corporation,501-1000,Major Banks
H. B. Fuller Company,1001-5000,Home Furnishings
Astoria Financial Corporation,10000+,n/a
Kirby Corporation,1001-5000,Marine Transportation
AmeriServ Financial Inc.,501-1000,Major Banks
Oak Valley Bancorp (CA),201-500,Major Banks
"CBL & Associates Properties, Inc.",201-500,Real Estate Investment Trusts
Stellar Acquisition III Inc.,201-500,Business Services
Dell Technologies Inc.,201-500,Computer Manufacturing
"Dillard&#39;s, Inc.",10000+,Department/Specialty Retail Stores
"BioLife Solutions, Inc.",501-1000,Biotechnology: Electromedical & Electrotherapeutic Apparatus
Navios Maritime Partners LP,10000+,Marine Transportation
Check-Cap Ltd.,201-500,Medical Electronics
Minerals Technologies Inc.,501-1000,Major Chemicals
"ADOMANI, Inc.",1001-5000,n/a
"Cogent Communications Holdings, Inc.",10000+,Telecommunications Equipment
Zions Bancorporation,10000+,n/a
"Pepsico, Inc.",1001-5000,Beverages (Production/Distribution)
"AzurRx BioPharma, Inc.",10000+,n/a
Cambrex Corporation,1001-5000,Major Pharmaceuticals
NICE Ltd,201-500,Computer Manufacturing
"PS Business Parks, Inc.",501-1000,n/a
"Peoples Bancorp of North Carolina, Inc.",1001-5000,Major Banks
"AeroVironment, Inc.",10000+,Aerospace
First Bancorp,1001-5000,Major Banks
"ACI Worldwide, Inc.",10000+,Computer Software: Prepackaged Software
PIMCO Municipal Income Fund III,10000+,n/a
"Ecology and Environment, Inc.",10000+,Military/Government/Technical
"Valhi, Inc.",1001-5000,Major Chemicals
Weibo Corporation,1001-5000,"Computer Software: Programming, Data Processing"
"Ryder System, Inc.",201-500,Rental/Leasing Companies
Prudential Public Limited Company,10000+,n/a
"Apogee Enterprises, Inc.",10000+,Auto Parts:O.E.M.
"Axsome Therapeutics, Inc.",201-500,Major Pharmaceuticals
"BWX Technologies, Inc.",501-1000,Industrial Machinery/Components
Seneca Foods Corp.,10000+,Packaged Foods
PowerShares DWA Financial Momentum Portfolio,10000+,n/a
"Targa Resources, Inc.",201-500,Natural Gas Distribution
"Trinity Industries, Inc.",201-500,Railroads
Iridium Communications Inc,1001-5000,Telecommunications Equipment
Nuveen New York AMT-Free Quality Municipal,10000+,n/a
"WPX Energy, Inc.",201-500,Oil & Gas Production
BT Group plc,10000+,Telecommunications Equipment
MTS Systems Corporation,201-500,Industrial Machinery/Components
Nuveen Senior Income Fund,1001-5000,n/a
Principal Healthcare Innovators Index ETF,201-500,n/a
Gafisa SA,1001-5000,Homebuilding
Cemex S.A.B. de C.V.,201-500,Building Materials
"United Bancshares, Inc.",201-500,Major Banks
"Taubman Centers, Inc.",1001-5000,n/a
Hersha Hospitality Trust,501-1000,n/a
"Reinsurance Group of America, Incorporated",1001-5000,Life Insurance
First Trust/Aberdeen Global Opportunity Income Fund,10000+,n/a
"Raymond James Financial, Inc.",501-1000,Investment Bankers/Brokers/Service
"Darden Restaurants, Inc.",1001-5000,Restaurants
"KAR Auction Services, Inc",10000+,Automotive Aftermarket
"Aberdeen Singapore Fund, Inc.",10000+,n/a
Assured Guaranty Ltd.,501-1000,Property-Casualty Insurers
"DineEquity, Inc",10000+,Restaurants
"Regeneron Pharmaceuticals, Inc.",10000+,Major Pharmaceuticals
General Electric Company,501-1000,Consumer Electronics/Appliances
Johnson & Johnson,201-500,Major Pharmaceuticals
Innodata Inc.,10000+,EDP Services
FIRST REPUBLIC BANK,10000+,n/a
WEX Inc.,1001-5000,Business Services
"Merit Medical Systems, Inc.",501-1000,Medical/Dental Instruments
"Banco Santander, S.A.",1001-5000,Commercial Banks
"Westbury Bancorp, Inc.",201-500,Major Banks
Global X S&P 500 Catholic Values ETF,501-1000,n/a
Concho Resources Inc.,201-500,Oil & Gas Production
"Wolverine Bancorp, Inc.",10000+,Banks
Ameren Corporation,501-1000,Power Generation
LKQ Corporation,10000+,Motor Vehicles
"Dermira, Inc.",201-500,Major Pharmaceuticals
City Holding Company,10000+,Major Banks
Gladstone Land Corporation,501-1000,Real Estate Investment Trusts
IRSA Inversiones Y Representaciones S.A.,501-1000,Homebuilding
Stantec Inc,1001-5000,Military/Government/Technical
"Forward Industries, Inc.",501-1000,Plastic Products
V.F. Corporation,10000+,Apparel
Talend S.A.,1001-5000,Computer Software: Prepackaged Software
The Charles Schwab Corporation,1001-5000,n/a
"Forrester Research, Inc.",10000+,Diversified Commercial Services
"The Bon-Ton Stores, Inc.",201-500,Department/Specialty Retail Stores
Western Asset/Claymore U.S. Treasury Inflation Prot Secs Fd,201-500,n/a
Fiduciary/Claymore MLP Opportunity Fund,201-500,n/a
Global Indemnity Limited,1001-5000,Property-Casualty Insurers
"Scudder Global High Income Fund, Inc.",1001-5000,n/a
Huntington Bancshares Incorporated,501-1000,Major Banks
First Trust Energy Infrastructure Fund,201-500,n/a
Diamondrock Hospitality Company,10000+,Real Estate Investment Trusts
Valley National Bancorp,201-500,Major Banks
Fair Isaac Corporation,201-500,Business Services
"Nova Lifestyle, Inc",10000+,Home Furnishings
"Spark Energy, Inc.",10000+,Power Generation
Stewart Information Services Corporation,201-500,Specialty Insurers
Valvoline Inc.,201-500,Major Chemicals
"Uni-Pixel, Inc.",501-1000,Industrial Machinery/Components
Vanguard Total International Stock ETF,201-500,n/a
Layne Christensen Company,1001-5000,Engineering & Construction
"Workday, Inc.",1001-5000,EDP Services
"Chart Industries, Inc.",10000+,Metal Fabrications
Seaspan Corporation,201-500,Marine Transportation
Travelzoo,201-500,EDP Services
"Ventas Realty, Limited Partnership // Ventas Capital Corporati",10000+,Real Estate Investment Trusts
"Amtech Systems, Inc.",1001-5000,Industrial Machinery/Components
Fresenius Medical Care Corporation,10000+,Hospital/Nursing Management
"China Advanced Construction Materials Group, Inc.",501-1000,Engineering & Construction
Arthur J. Gallagher & Co.,501-1000,Specialty Insurers
"J.C. Penney Company, Inc. Holding Company",201-500,Department/Specialty Retail Stores
Gulfport Energy Corporation,501-1000,Oil & Gas Production
"The Bon-Ton Stores, Inc.",1001-5000,Department/Specialty Retail Stores
Teledyne Technologies Incorporated,201-500,Industrial Machinery/Components
Crane Company,501-1000,Metal Fabrications
NF Energy Saving Corporation,10000+,Metal Fabrications
Union Pacific Corporation,501-1000,Railroads
Triangle Capital Corporation,501-1000,n/a
Bank of Nova Scotia (The),1001-5000,Major Banks
First Trust Brazil AlphaDEX Fund,10000+,n/a
Eaton Vance Corporation,501-1000,Investment Managers
Ardmore Shipping Corporation,501-1000,Marine Transportation
PowerShares FTSE RAFI US 1500 Small-Mid Portfolio,10000+,n/a
iStar Financial Inc.,201-500,n/a
"SINOPEC Shangai Petrochemical Company, Ltd.",501-1000,Major Chemicals
"Titan International, Inc.",501-1000,Steel/Iron Ore
"Surmodics, Inc.",201-500,Medical/Dental Instruments
Brandywine Realty Trust,201-500,Real Estate Investment Trusts
"Willdan Group, Inc.",501-1000,Military/Government/Technical
John Hancock Income Securities Trust,501-1000,n/a
"Dollar Tree, Inc.",1001-5000,Department/Specialty Retail Stores
Baltimore Gas & Electric Company,10000+,n/a
Ferroglobe PLC,10000+,Metal Fabrications
ZTO Express (Cayman) Inc.,501-1000,Trucking Freight/Courier Services
Altria Group,501-1000,Farming/Seeds/Milling
TrustCo Bank Corp NY,201-500,Major Banks
"PriceSmart, Inc.",1001-5000,Department/Specialty Retail Stores
Gabelli Utility Trust (The),1001-5000,n/a
"Sunworks, Inc.",201-500,Telecommunications Equipment
"Arista Networks, Inc.",501-1000,Computer Communications Equipment
"United Financial Bancorp, Inc. ",1001-5000,Banks
Morgan Stanley,1001-5000,n/a
"Daseke, Inc.",1001-5000,Transportation Services
Vanguard Mortgage-Backed Securities ETF,501-1000,n/a
Texas Pacific Land Trust,10000+,Oil & Gas Production
First Trust Switzerland AlphaDEX Fund,201-500,n/a
"Achillion Pharmaceuticals, Inc.",1001-5000,Major Pharmaceuticals
"Wal-Mart Stores, Inc.",501-1000,Department/Specialty Retail Stores
"First Solar, Inc.",10000+,Semiconductors
"Blackrock MuniHoldings Fund II, Inc.",10000+,n/a
ContraFect Corporation,501-1000,Major Pharmaceuticals
New York Times Company (The),501-1000,Newspapers/Magazines
"Bassett Furniture Industries, Incorporated",201-500,Home Furnishings
The RMR Group Inc.,1001-5000,Professional Services
Tri Continental Corporation,1001-5000,n/a
"HFF, Inc.",201-500,Real Estate
"DWS High Income Opportunities Fund, Inc.",10000+,n/a
"Xcel Brands, Inc",1001-5000,Multi-Sector Companies
Vuzix Corporation,10000+,Radio And Television Broadcasting And Communications Equipment
Global X S&P 500 Catholic Values ETF,1001-5000,n/a
WAVE Life Sciences Ltd.,10000+,Major Pharmaceuticals
Innodata Inc.,501-1000,EDP Services
"Cardiovascular Systems, Inc.",10000+,Medical/Dental Instruments
Harvest Capital Credit Corporation,501-1000,n/a
"Haverty Furniture Companies, Inc.",201-500,Other Specialty Stores
"PS Business Parks, Inc.",10000+,n/a
"Provident Financial Holdings, Inc.",10000+,Savings Institutions
MSA Safety Incorporporated,201-500,Industrial Specialties
Realty Income Corporation,1001-5000,Real Estate Investment Trusts
Navient Corporation,1001-5000,Investment Bankers/Brokers/Service
Trecora Resources,1001-5000,Integrated oil Companies
Newfield Exploration Company,1001-5000,Oil & Gas Production
"Consolidated Communications Holdings, Inc.",10000+,Telecommunications Equipment
The Goodyear Tire & Rubber Company,1001-5000,Automotive Aftermarket
Principal Millennials Index ETF,1001-5000,n/a
SLM Corporation,501-1000,Finance: Consumer Services
Eaton Vance Enhanced Equity Income Fund II,10000+,n/a
State Street Corporation,501-1000,n/a
"AveXis, Inc.",1001-5000,Biotechnology: Biological Products (No Diagnostic Substances)
"New York Community Bancorp, Inc.",501-1000,n/a
"Salem Media Group, Inc.",1001-5000,Broadcasting
"Knight Transportation, Inc.",1001-5000,Trucking Freight/Courier Services
"Orbital ATK, Inc.",10000+,Military/Government/Technical
"Chembio Diagnostics, Inc.",1001-5000,Major Pharmaceuticals
"Saul Centers, Inc.",201-500,n/a
Northern Technologies International Corporation,1001-5000,Industrial Specialties
"Tabula Rasa HealthCare, Inc.",1001-5000,Business Services
DTE Energy Company,201-500,Electric Utilities: Central
Duke Realty Corporation,10000+,Real Estate Investment Trusts
Signet Jewelers Limited,10000+,Consumer Specialties
Otter Tail Corporation,501-1000,Electric Utilities: Central
Rogers Corporation,501-1000,Major Chemicals
Fifth Street Asset Management Inc.,501-1000,Investment Managers
"Lantheus Holdings, Inc.",1001-5000,Biotechnology: In Vitro & In Vivo Diagnostic Substances
"Morgan Stanley Emerging Markets Debt Fund, Inc.",1001-5000,n/a
Fairmount Santrol Holdings Inc.,10000+,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
RAIT Financial Trust,1001-5000,Real Estate Investment Trusts
C&F Financial Corporation,201-500,Major Banks
The Kraft Heinz Company,201-500,Packaged Foods
"Commerce Bancshares, Inc.",201-500,Major Banks
Caesarstone Ltd.,10000+,Building Materials
MFS Government Markets Income Trust,10000+,n/a
Chesapeake Utilities Corporation,10000+,Oil & Gas Production
"FCB Financial Holdings, Inc.",10000+,Major Banks
Eastman Kodak Company,10000+,n/a
Embotelladora Andina S.A.,501-1000,n/a
Lipocine Inc.,1001-5000,Major Pharmaceuticals
PTC Inc.,10000+,Computer Software: Prepackaged Software
"Installed Building Products, Inc.",201-500,Homebuilding
Pimco New York Municipal Income Fund II,501-1000,n/a
"Merrill Lynch Depositor, Inc.",501-1000,Finance: Consumer Services
Bellatrix Exploration Ltd,1001-5000,Oil & Gas Production
Investar Holding Corporation,1001-5000,Major Banks
Avenue Income Credit Strategies Fund,201-500,n/a
"Williams-Sonoma, Inc.",10000+,Home Furnishings
Celsion Corporation,201-500,Major Pharmaceuticals
First Trust Mega Cap AlphaDEX Fund,201-500,n/a
CVS Health Corporation,10000+,Medical/Nursing Services
General Finance Corporation,201-500,Diversified Commercial Services
"Gabelli Equity Trust, Inc. (The)",501-1000,n/a
Pacific Drilling S.A.,10000+,Oil & Gas Production
"Connecticut Water Service, Inc.",10000+,Water Supply
"Energizer Holdings, Inc.",10000+,Industrial Machinery/Components
"Match Group, Inc.",201-500,"Computer Software: Programming, Data Processing"
Amgen Inc.,10000+,Biotechnology: Biological Products (No Diagnostic Substances)
Eclipse Resources Corporation,201-500,Oil & Gas Production
Turkcell Iletisim Hizmetleri AS,501-1000,Telecommunications Equipment
XL Group Ltd.,201-500,Property-Casualty Insurers
S&P Global Inc.,201-500,Finance: Consumer Services
Xcel Energy Inc.,1001-5000,Power Generation
"Xerium Technologies, Inc.",501-1000,Textiles
Glaukos Corporation,10000+,Medical/Dental Instruments
"Goldman Sachs Group, Inc. (The)",201-500,n/a
Centrais Electricas Brasileiras S.A.- Eletrobras,1001-5000,n/a
"Synacor, Inc.",10000+,"Computer Software: Programming, Data Processing"
MSCI Inc,501-1000,Business Services
iShares MSCI UAE Capped ETF,1001-5000,n/a
Manulife Financial Corp,10000+,Life Insurance
"Microvision, Inc.",201-500,Industrial Machinery/Components
"Health Insurance Innovations, Inc.",201-500,Specialty Insurers
Fortuna Silver Mines Inc.,501-1000,Precious Metals
"Vera Bradley, Inc.",1001-5000,Apparel
Fiduciary/Claymore MLP Opportunity Fund,10000+,n/a
CTI BioPharma Corp.,10000+,Major Pharmaceuticals
58.com Inc.,201-500,"Computer Software: Programming, Data Processing"
Time Warner Inc.,201-500,Television Services
